,Unnamed: 0,Hotel Name,Tipe Properti,City,Address,Hotel Rating,Min,Max,Lattitute,Longitude
271,275,RedDoorz Syariah near Wisata Situ Gunung Sukabumi,Hotel,Sukabumi Sukabumi,Jl. Kadudampit KM.6 No.58. Gede Pangrango. Kec. Cisaat. Sukabumi Regency. Jawa Barat 43153. Indonesia,3.8,95226,167670,-6.85992,106.919771
272,276,Villa Anyelir Yustik RedPartner,Hotel,Sukaraja Sukabumi,Jl. Pd. Halimun Jl. Selabintana No.Km. 7. Perbawati. Kec. Sukabumi. Kabupaten Sukabumi. Jawa Barat 43151,3.6,175500,234000,-6.874099,106.944466
273,277,Villa Anyelir Yustik,Hotel,Sukaraja Sukabumi,No.Km Jl. Pd. Halimun,2.8,110540,166434,-6.874102193012334,106.94447798369777
274,278,RedDoorz Plus @ Grand Yustik Sukabumi,Resort,Sukaraja Sukabumi,Jalan Selabintana KM 7. Sundajaya Girang. Kec. Sukabumi. Sukabumi. Jawa Barat 43151. Indonesia,4.0,149523,224285,-6.868958,106.951604
275,279,RedDoorz near Alun-Alun Kota Sukabumi,Guest House,Cikole Sukabumi,Jl. Kenari No.16 - 18,3.4,282555,282555,-6.914893,106.930189
276,280,Hotel Taman Sari,Hotel,Cikole Sukabumi,Jalan Surya Kencana No. 17. Sukabumi,4.2,896738,1695644,-6.9116649,106.9348188
277,281,RedDoorz @ Jalan R.E. Martadinata Sukabumi,Hotel,Cikole Sukabumi,Jl. R. E. Martadinata No.55. Kebonjati. Kec. Cikole. Kota Sukabumi. Jawa Barat 43113. Indonesia,4.0,204193,355000,-6.920318,106.933818
278,282,OYO 90405 Penginapan Sasti Kuningan,Hotel,Cilimus Kuningan,Jalan raya bandorasa no 45 kecamatan cilimus kabupaten kuningan,3.4,74479,230903,-6.888835,108.493861
279,283,Capital O 90530  Ayong M Linggarjati Hotel,Hotel,Cilimus Kuningan,Jl Raya Linggarjati No. 04. Kuningan. Jawa barat. Kuningan,3.9,100453,146535,-6.883624,108.481478
280,284,OYO 113676 Wisma Al-fahmi Syariah,Hotel,Jalaksana Kuningan,no 83. jln raya manis kidul jawa Barat. Indonesia. Kuningan,3.9,76499,240385,-6.909168,108.483151
281,285,Hotel/Villa Anugerah,Hotel,Cilimus Kuningan,Linggasana. Cilimus. Kuningan Regency. West Java 45556,3.4,177998,548826,-6.884449,108.477382
282,286,OYO 90543 An-nur Guest House Syariah,Hotel,Jalaksana Kuningan,rt 4. Maniskidul. Jawa Barat.  Indonesia. Kuningan,4.6,87947,138076,-6.909888,108.488463
283,287,RedDoorz Plus near Alun Alun Kuningan,Hotel,Kuningan Kuningan,Jl. Pramuka No.96. Purwawinangun. Kec. Kuningan. Kabupaten Kuningan. Jawa Barat 45512. Indonesia,3.4,221130,221130,-6.974514,108.478263
284,288,Villa Mawar Adinda Kuningan Syariah RedPartner,Hotel,Lebakwangi Kuningan,Jl. Raya Cinagara No. 11. Cinagara. Kec. Lebakwangi. Kabupaten Kuningan. Jawa Barat 45574. Indonesia,Belum ada rating,113024,352044,-7.020537,108.58353
285,289,Vaccinated Staff - OYO II3676 Wisma Al-fahmi Syariah,Hotel,Jalaksana Kuningan,no 83. jln raya manis kidul jawa Barat,5.0,90666,159998,-6.91579008102417,108.48780822753906
286,290,Saung Aligo RedPartner,Guest House,Cigugur Kuningan,Jl. Cileuleuy No.154. Cileuleuy. Kec. Cigugur. Kabupaten Kuningan. Jawa Barat 45552. Indonesia,3.4,102664,222300,-6.981835,108.45472
287,291,Penginapan Al Firdausi Syariah RedPartner,Hostel,Jalaksana Kuningan,Maniskidul. Jalaksana RT/RW 005/001. Maniskidul. Kec. Jalaksana. Kabupaten Kuningan. Jawa Barat 45554. Indonesia,3.9,326250,400050,-6.907901,108.482877
288,292,Hotel Familie Ayu Garut Kota,Guest House,Garut Kota Garut,Jl. Ranggalawe No.66. Regol. Garut Kota,4.0,163525,305653,-7.21873,107.905453
289,293,RedDoorz near Alun-Alun Garut,Guest House,Garut Kota Garut,Jl. Veteran No. 14 Pakuwon. Garut. Garut Regency. West Java. Indonesia,3.9,213570,244283,-7.21505,107.904468
290,294,Wisma Yasmin Syariah,Guest House,Garut Kota Garut,Jl. Pasundan No. 39 Kelurahan Kota Kulon. Kecamatan Garut kota. Kabupaten Gatut. Propinsi Jawa Barat.,5.0,250000,450000,-7.222924,107.905246
291,295,Sudirman Quest Syariah,Guest House,Garut Kota Garut,Jl. Jendral Sudirman No.4c. Kota Kulon. Kec. Garut Kota. Kabupaten Garut. Jawa Barat,4.0,135000,135000,-7.227002,107.913794
292,296,favehotel Cimanuk,Hotel,Tarogong Kidul Garut,Jalan Cimanuk No. 338,4.0,609000,1365000,-7.20334,107.89
293,297,RedDoorz @ Pataruman Garut,Hotel,Tarogong Kidul Garut,Jl. Pataruman. Pataruman. Kec. Tarogong Kidul. Kabupaten Garut. Jawa Barat,3.6,203175,278775,-7.201174,107.893263
294,298,Hotel Tiara,Hotel,Tarogong Kidul Garut,Jl. Cimanuk No.311 Pataruman,3.4,211114,633341,-7.20316151691964,107.8901570179396
295,299,OYO 3340 Wisma Etiga,Hotel,Tarogong Kidul Garut,Jl Merdeka No. 115 Kel Haurpanggung Kec Tarogong Kidul Garut. Garut,3.2,121609,205411,-7.200246,107.902736
296,300,Ultima Syariah Cipanas Garut RedPartner,Hotel,Tarogong Kaler Garut,Jl. Raya Cipanas No.107. Rancabango. Kec. Tarogong Kaler. Kabupaten Garut. Jawa Barat 44151. Indonesia,4.1,176000,303408,-7.178292,107.871075
297,301,Container Hotel,Hotel,Tarogong Kidul Garut,Jl. RSU Dr Slamet. Sukakarya. Tarogong Kidul. Garut,4.8,260000,260000,-7.220214,107.898537
298,302,RedDoorz Resort near Darajat Garut,Hotel,Pasirwangi Garut,Sirnajaya. Padasuka. Pasirwangi. Kabupaten Garut. Jawa Barat 44161. Indonesia,4.2,205920,234828,-7.220816,107.812226
299,303,RedDoorz Plus @ Otista Garut,Hotel,Tarogong Kidul Garut,Pananjung. Tarogong Kidul. Jl. Otista No.234. Sukagalih. Kec. Tarogong Kaler. Kabupaten Garut. Jawa Barat,3.5,205061,502164,-7.193785,107.886443
300,304,Wisma Vandera Syariah Garut RedPartner,Hotel,Karangpawitan Garut,Jl. Jendral Sudirman No.27. Sucikaler. Kec. Karangpawitan. Kabupaten Garut. Jawa Barat 44182. Indonesia,3.4,194578,310500,-7.212829,107.918856
301,305,RedDoorz @ Pataruman Garut,Hotel,Tarogong Kidul Garut,Jl. Pataruman. Pataruman. Kec. Tarogong Kidul. Kabupaten Garut. Jawa Barat,3.6,203175,278775,-7.201174,107.893263
302,306,G double L,Homestay,Caringin Garut,Ranca buaya pantai cidora,Belum ada rating,268000,268000,-7.524094,107.477292
303,307,Darajat 4R Cottage Syariah,Cottage,Pasirwangi Garut,Karyamekar. Pasirwangi. Garut Regency. West Java 44161. Indonesia. Garut,3.9,295850,295850,-7.218198,107.751142
304,308,Hazza Homestay Syariah,Homestay,Tarogong Kaler Garut,Gerbang Hitam samping RM. Alfamart. Sebelah POM Bensin sebrang. Jl. Kp. Malayu. Mekarwangi. Tarogong Kaler,3.7,158007,286656,-7.210852,107.857971
305,309,RedDoorz Premium @ Joglo Garut Cottage Syariah,Cottage,Tarogong Kidul Garut,Jl. Proklamasi No.45. Jayaraga. Kec. Tarogong Kidul. Kabupaten Garut. Jawa Barat 44151. Indonesia,3.8,280286,450450,-7.194599,107.898484
306,310,SPOT ON 90921 Wisma Pkpn 2,Hotel,Cilawu Garut,79B. Garut. Jawa Barat. Indonesia. Garut,3.3,54622,74741,-7.234181,107.906974
307,311,Yokotel City,Hotel,Cicendo Bandung,Jl doktor radjiman no 3,4.5,291243,378386,-6.903819622679966,107.59827595593369
308,312,OYO 2562 Pondok Tajlibu Syifa Syariah,Hotel,Sukajadi Bandung,Jl. Sederhana No.29/61. Pasteur. Kec. Sukajadi. Kota Bandung. Jawa Barat 40161. Indonesia. Bandung,3.0,83103,105555,-6.894593,107.598491
309,313,Bobobox Paskal,Capsule Hotel,Cicendo Bandung,Jl. Pasir Kaliki No.76A. Pasir Kaliki. Cicendo. Kota Bandung. Jawa Barat 40171. Indonesia,4.5,208000,209700,-6.910288,107.598085
310,314,RUMAH TAMU CIUMBULEUIT,Guest House,Cidadap Bandung,JALAN GUNUNG KENCANA NO 3 RT 06 RW 06 KELURAHAN CIUMBULEUIT KECAMATAN CIDADAP KOTA BANDUNG,4.5,146500,146500,-6.871889,107.608375
311,315,TEMMU Co-Living,Hostel,Cicendo Bandung,Jl. Abdul Rahman Saleh No.68 A. Husen Sastranegara. Cicendo. Kota Bandung. Jawa Barat 40171. Indonesia,4.4,134999,274999,-6.907407,107.581531
312,316,Hotel Rumah Tawa Syariah,Guest House,Sumur Bandung Bandung,Jl. Taman Cibunut Selatan No. 6,4.4,250000,275000,-6.917004,107.614935
313,317,Ruby Hotel Syariah,Hotel,Cicendo Bandung,Jl. DR. Rubini No.4. Pasir Kaliki. Cicendo. Kota Bandung. Jawa Barat. Indonesia,4.3,370000,425000,-6.905477,107.599113
314,318,Shakti Capsule Cihampelas Bandung,Capsule Hotel,Coblong Bandung,Jl. Cihampelas No. 119. bandung,4.2,119999,149999,-6.897066,107.60374
315,319,Stay Inn Bandung,Guest House,Cicendo Bandung,Istana Regeny II No B-7,4.3,261250,451808,-6.898956,107.58727
316,320,Cherry Homes Hotel & Residence,Hotel,Sukajadi Bandung,Jl. Babakan Jeruk IV No. 37-39 ,4.1,169393,305766,-6.885696,107.585913
317,321,Ottenville Boutique Hotel,Hotel,Cicendo Bandung,Jl. Dr. Otten No. 6,4.2,280000,800000,-6.90313,107.60062
318,322,Alam Permai Hotel,Hotel,Cidadap Bandung,Jl. Dr. Setiabudi No.432. Isola. Sukasari. Kota Bandung. Jawa Barat 40154. Indonesia,3.9,200000,200000,-6.84353,107.600637
319,323,Smart Capsule by Buton,Capsule Hotel,Cicendo Bandung,Jl. H. Akbar No.19. Pasir Kaliki. Kec. Cicendo. Kota Bandung. Jawa Barat . Indonesia,4.2,99999,199999,-6.911003,107.600059
320,324,Andelir Hotel Bandung,Hotel,Sukajadi Bandung,Jl. Prof. Eyckman No.19 - 21. Pasteur. Kec. Sukajadi. Kota Bandung. Jawa Barat 40161,4.0,299999,399999,-6.895785,107.600941
321,325,Rooms Inc BTC Bandung,Hotel,Cicendo Bandung,Jl. Djundjunan No. 143-149,4.0,432000,540000,-6.8954,107.58886
322,326,Amaryllis Hotels,Hotel,Sukajadi Bandung,Jl. Lamping No.18. RT.001/RW.005. Pasteur. Kec. Sukajadi. Kota Bandung. Jawa Barat 40161,4.1,354000,590000,-6.887111,107.600802
323,327,Hotel Bumi Asih Gedung Sate Bandung,Hotel,Bandung Wetan Bandung,Jl. Cilamaya No.1. Citarum. Kec. Bandung Wetan. Kota Bandung. Jawa Barat,4.0,258119,900000,-6.903321,107.616673
324,328,Wirton Dago Hotel,Hotel,Coblong Bandung,Jl. Ir. H.Djuanda No.395. Dago. Coblong. Kota Bandung. Jawa Barat 40135. Indonesia,4.0,241002,396750,-6.869186,107.620191
325,329,Sapadia Guest House,Guest House,Coblong Bandung,Jl. Mundinglaya No. 2. Dago. Bandung,3.8,237515,319999,-6.897999,107.610593
326,330,Cherry Homes Express Hotel,Hotel,Sukajadi Bandung,Jl. Surya Sumantri No. 93,3.9,229325,388000,-6.88356,107.58147
327,331,Hotel Sabang Bandung,Hotel,Bandung Wetan Bandung,Jl. Sabang No.101. Citarum. Kec. Bandung Wetan. Kota Bandung. Jawa Barat 40115. Indonesia,3.7,275000,450000,-6.909453,107.624075
328,332,CT 195 Bandung,Kos,Sukajadi Bandung,Jl. Cipedes Tengah No.195. Sukagalih. Kec. Sukajadi. Kota Bandung. Jawa Barat,3.8,99999,229999,-6.880038,107.5901132
329,333,Bantal Guling Trans,Guest House,Batununggal Bandung,Jl. Gatot Subroto No.194. Gumuruh. Kec. Batununggal. Kota Bandung. Jawa Barat 40274,3.6,98414,378000,-6.930281,107.639358
330,334,Ariandri Boutique Hotel,Hotel,Sukajadi Bandung,Jl. Sukakarya No.15. Sukagalih. Kec. Sukajadi. Kota Bandung. Jawa Barat,3.5,134999,449999,-6.887988,107.582531
331,335,Collection O 90641 Sky City Home,Hotel,Coblong Bandung,Jalan Dago Asri no 1c  Cisitu Lama. Ciumbuleuit. Jawa Barat. 40135. Indonesia. Bandung,3.6,159594,212792,-6.879829,107.613808
332,336,Hotel Lotus Bandung,Resort,Coblong Bandung,Jl. Tubagus Ismail VIII No. 45. Bandung 40134,3.5,149999,284999,-6.880683,107.621006
333,337,Budi House & Food Station,Hostel,Cicendo Bandung,Jl. Budhi No.27. 02. Sukaraja. Cicendo. Kota Bandung. Jawa Barat 40175. Indonesia,3.4,102960,200001,-6.890753,107.558874
334,338,Hotel Cihampelas 2,Hotel,Coblong Bandung,Jl. Cihampelas No.222. Cipaganti. Kecamatan Coblong. Kota Bandung. Jawa Barat,3.2,275000,275000,-6.88999,107.604378
335,339,Hotel Citradream Bandung,Hotel,Cicendo Bandung,Jl. Pasir Kaliki No.36-42. Pasir Kaliki. Kec. Cicendo. Kota Bandung. Jawa Barat,4.3,294913,350793,-6.911884,107.598178
336,340,OYO Flagship 91295 Suria City Hotel Syariah,Hotel,Lengkong Bandung,75. Jl. Pelajar Pejuang 45 No 75. Lkr. Sel.. Kec Lengkong.Kota Bandung.. Bandung,3.8,156851,309517,-6.929972,107.626586
337,341,Raffleshom Hotel,Hotel,Asia Afrika Bandung,Jl. Pangarang No.24. Cikawao. Kec. Lengkong. Kota Bandung. Jawa Barat,4.2,227732,1356737,-6.924115,107.60998
338,342,Sari Ater Hotel & Resort,Resort,Ciater Subang,Jl. Raya Ciater - Ciater. Lembang. Ciater. Indonesia. 41281,3.8,162380,2272952,-6.737574,107.6533683
339,343,OYO 2141 Pondok Pulo Sari 2,Hotel,Ciater Subang,Jl. Sari Alam. Nagrak. Kec. Ciater. Kabupaten Subang. Jawa Barat 41281. Indonesia. Subang,2.9,88001,290839,-6.739916,107.658059
340,344,OYO 3040 D'pineapple Villa,Hotel,Ciater Subang,Ciater. Jawa Barat. Subang,3.5,152702,487587,-6.739813,107.653889
341,345,Kanaka Residence RedPartner,Hotel,Ciater Subang,Jl. Lembah Sarimas. Palasari. Kec. Ciater. Kabupaten Subang. Jawa Barat 41281. Indonesia,3.7,196560,217203,-6.73062,107.656271
342,346,Bantal Guling Villa Lembang,Cottage,Lembang Bandung,Jl. Kolonel Masturi. Kampung Kramat No.1. Lembang. Jawa Barat 40391. Indonesia,3.7,229811,736313,-6.82111,107.607373
343,347,Hotel Bumi Makmur Indah,Hotel,Lembang Bandung,Jl. Raya Lembang No.224. Lembang. Bandung. Kabupaten Bandung Barat. Jawa Barat 40391. Indonesia,4.0,298934,349613,-6.813468,107.615796
344,348,RedDoorz near Lembang Park & Zoo,Hotel,Lembang Bandung,Jl. Melati Jl. Sersan Bajuri No.18. Cihideung. Kec. Parongpong. Kabupaten Bandung Barat. Jawa Barat 40559. Indonesia,4.0,166404,209625,-6.812046,107.595421
345,467,Hotel Suma,Hotel,Buleleng Buleleng,Jl. Loviana. Anturan. Kec. Buleleng. Kabupaten Buleleng. Bali 81119. Indonesia,3.6,345206,550000,-8.151673,115.035532
346,468,Josh Guest House,Guest House,Buleleng Buleleng,Jl. Pantai Penimbangan Gg. Balbo No.Blok E. Baktiseraga. Kec. Buleleng. Kabupaten Buleleng. Bali 81115,Belum ada rating,280000,441531,-8.124934,115.06569
